Time,R1,R2,R3,Condition,Measure
0,0,0,0,Glucose,GrowthKinetics
48,0.284,0.356,0.342,Glucose,GrowthKinetics
72,0.384,0.408,0.34,Glucose,GrowthKinetics
96,0.512,0.524,0.478,Glucose,GrowthKinetics
120,0.82,0.696,0.758,Glucose,GrowthKinetics
144,1.696,1.238,1.018,Glucose,GrowthKinetics
168,2.956,2.31,2.192,Glucose,GrowthKinetics
192,5.08,3.538,4.5,Glucose,GrowthKinetics
216,5.474,5.164,5.319,Glucose,GrowthKinetics
240,5.718,6.1,5.282,Glucose,GrowthKinetics
264,7.008,6.8,6.846,Glucose,GrowthKinetics
288,7.078,7.566,7.13,Glucose,GrowthKinetics
312,7.388,6.072,6.348,Glucose,GrowthKinetics
336,7.828,7.174,6.726,Glucose,GrowthKinetics
360,7.08,7.35,6.896,Glucose,GrowthKinetics
384,7.74,6.94,7.458,Glucose,GrowthKinetics
408,7.304,6.778,7.041,Glucose,GrowthKinetics
432,6.634,7.412,7.37,Glucose,GrowthKinetics
456,7.256,6.688,7.576,Glucose,GrowthKinetics
480,6.512,6.778,6.554,Glucose,GrowthKinetics
504,6.5,7.2,7.558,Glucose,GrowthKinetics
0,0,0,0,Glycerol,GrowthKinetics
48,0.152,0.68,0.324,Glycerol,GrowthKinetics
72,0.398,0.364,0.398,Glycerol,GrowthKinetics
96,0.48,0.468,0.516,Glycerol,GrowthKinetics
120,0.502,0.518,0.51,Glycerol,GrowthKinetics
144,0.72,0.818,0.769,Glycerol,GrowthKinetics
168,1.062,1.226,1.144,Glycerol,GrowthKinetics
192,2.246,2.05,2.414,Glycerol,GrowthKinetics
216,2.906,2.89,2.898,Glycerol,GrowthKinetics
240,3.246,3.382,3.314,Glycerol,GrowthKinetics
264,4.81,4.348,4.579,Glycerol,GrowthKinetics
288,5.056,5.17,5.113,Glycerol,GrowthKinetics
312,4.996,5.24,5.118,Glycerol,GrowthKinetics
336,5.368,5.34,5.354,Glycerol,GrowthKinetics
360,4.888,5.35,5.119,Glycerol,GrowthKinetics
384,5.44,5.09,5.265,Glycerol,GrowthKinetics
408,5.222,5.218,5.22,Glycerol,GrowthKinetics
432,6.144,5.086,5.208,Glycerol,GrowthKinetics
456,4.724,4.788,5.158,Glycerol,GrowthKinetics
480,5.512,5.104,5.308,Glycerol,GrowthKinetics
504,5.412,5.186,5.299,Glycerol,GrowthKinetics
0,0.02,0.02,0.02,Glycerol+YAG,GrowthKinetics
48,0.328,0.324,0.325,Glycerol+YAG,GrowthKinetics
72,0.441,0.442,0.458,Glycerol+YAG,GrowthKinetics
96,0.484,0.479,0.472,Glycerol+YAG,GrowthKinetics
120,0.685,0.69,0.665,Glycerol+YAG,GrowthKinetics
144,0.85,0.863,0.861,Glycerol+YAG,GrowthKinetics
168,1.359,1.341,1.332,Glycerol+YAG,GrowthKinetics
192,1.962,1.96,1.882,Glycerol+YAG,GrowthKinetics
216,2.867,2.855,2.828,Glycerol+YAG,GrowthKinetics
240,3.76,3.1,4.1,Glycerol+YAG,GrowthKinetics
264,4.577,4.579,4.408,Glycerol+YAG,GrowthKinetics
288,4.944,4.866,4.83,Glycerol+YAG,GrowthKinetics
312,5.153,5.183,5.213,Glycerol+YAG,GrowthKinetics
336,4.844,4.883,4.766,Glycerol+YAG,GrowthKinetics
360,5.234,6.107,5.768,Glycerol+YAG,GrowthKinetics
384,5.491,5.496,5.633,Glycerol+YAG,GrowthKinetics
408,6.1,5.57,5.44,Glycerol+YAG,GrowthKinetics
432,5.682,5.6,5.7,Glycerol+YAG,GrowthKinetics
456,5.683,5.662,5.533,Glycerol+YAG,GrowthKinetics
480,5.583,5.61,5.436,Glycerol+YAG,GrowthKinetics
504,5.374,5.445,5.48,Glycerol+YAG,GrowthKinetics
0,10.12715493,9.885943435,9.974810829,Glucose,CarbonComsuption
48,7.52672571,7.484407903,7.46536489,Glucose,CarbonComsuption
72,5.415067154,5.404487703,5.908069603,Glucose,CarbonComsuption
96,5.307156747,5.307156747,5.455269071,Glucose,CarbonComsuption
120,4.672389646,4.919948816,5.015163881,Glucose,CarbonComsuption
144,4.143417062,4.12860583,4.185734869,Glucose,CarbonComsuption
168,3.743513789,3.675805298,3.669457627,Glucose,CarbonComsuption
192,2.488790819,2.505717942,2.590353555,Glucose,CarbonComsuption
216,1.917500428,2.040222068,1.974629467,Glucose,CarbonComsuption
240,1.595885097,1.36525305,1.519713045,Glucose,CarbonComsuption
264,1.242531411,1.282733327,1.265806205,Glucose,CarbonComsuption
288,0.868018821,0.889177725,0.889177725,Glucose,CarbonComsuption
312,0.48504267,0.478694999,0.518896916,Glucose,CarbonComsuption
336,0.10418241,0.110530081,0.091487068,Glucose,CarbonComsuption
360,0.097834739,0.095718849,0.10418241,Glucose,CarbonComsuption
384,0.142268436,0.123225423,0.125341313,Glucose,CarbonComsuption
408,0.114761862,0.110530081,0.10206652,Glucose,CarbonComsuption
432,0.095718849,0.099950629,0.10418241,Glucose,CarbonComsuption
456,0.083023507,0.089371178,0.087255287,Glucose,CarbonComsuption
480,0.089371178,0.091487068,0.083023507,Glucose,CarbonComsuption
504,0.095718849,0.083023507,0.091487068,Glucose,CarbonComsuption
0,10,10,10,Glycerol,CarbonComsuption
